timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,1,100,adx25+atr_expand+pullback_bull+mtf_volatility,229,0.05240175,7.58431766,51,0.07843137,10.96694678,0.03092220,24,0.00000000,0.00000000,0.00000000
h4,1,100,atr_expand+impulse_bull+mtf_volatility+cross_group_return_up,157,0.05095541,7.37498405,31,0.03225806,4.51059908,0.00571722,27,0.03703704,17.27283951,0.00656815
h4,1,100,adx25+atr_expand+elliott_wave5_bull+mtf_adx25,140,0.05000000,7.23670310,24,0.00000000,0.00000000,0.00000000,12,0.08333333,38.86388889,0.01486509
h4,1,100,atr_expand+impulse_bull+mtf_volatility,362,0.04972376,7.19672131,63,0.06349206,8.87800454,0.02496562,62,0.03225806,15.04408602,0.00889137
h4,1,100,rsi_up1+atr_expand+elliott_impulse_bull+mtf_volatility,121,0.04958678,7.17689563,24,0.00000000,0.00000000,0.00000000,15,0.00000000,0.00000000,0.00000000
h4,1,100,superbb_bull+horizontal_break_up+elliott_wave5_bull+cross_group_return_up,121,0.04958678,7.17689563,27,0.00000000,0.00000000,0.00000000,27,0.00000000,0.00000000,0.00000000
h4,1,100,atr_expand+elliott_impulse_bull+mtf_volatility+cross_group_return_up,121,0.04958678,7.17689563,19,0.00000000,0.00000000,0.00000000,22,0.04545455,21.19848485,0.00806943
h4,1,100,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,0.04920914,7.12223855,100,0.06000000,8.38971429,0.02778612,93,0.02150538,10.02939068,0.00591750
h4,1,100,ichimoku_cloud_bull+superbb_bull+impulse_bull+cross_group_return_up,123,0.04878049,7.06019814,31,0.00000000,0.00000000,0.00000000,17,0.00000000,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+atr_expand+pullback_bull+mtf_volatility,226,0.04867257,7.04457824,39,0.07692308,10.75604396,0.02650740,27,0.03703704,17.27283951,0.00656815
h4,1,100,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,0.04812834,6.96581047,33,0.06060606,8.47445887,0.01678088,33,0.00000000,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+cross_group_return_up,125,0.04800000,6.94723497,33,0.00000000,0.00000000,0.00000000,17,0.00000000,0.00000000,0.00000000
h4,1,100,atr_expand+breakout20_up+elliott_impulse_bull+mtf_volatility,125,0.04800000,6.94723497,20,0.00000000,0.00000000,0.00000000,19,0.05263158,24.54561404,0.00935199
h4,1,100,atr_expand+retest_up+elliott_impulse_bull+mtf_volatility,125,0.04800000,6.94723497,20,0.00000000,0.00000000,0.00000000,19,0.05263158,24.54561404,0.00935199
h4,1,100,adx25+atr_expand+breakout20_up+mtf_adx25,146,0.04794521,6.93930434,20,0.00000000,0.00000000,0.00000000,14,0.07142857,33.31190476,0.01272222
h4,1,100,adx25+atr_expand+retest_up+mtf_adx25,146,0.04794521,6.93930434,20,0.00000000,0.00000000,0.00000000,13,0.07692308,35.87435897,0.01371042
h4,1,100,ichimoku_cloud_bull+superbb_bull+horizontal_break_up+elliott_impulse_bull,128,0.04687500,6.78440915,29,0.00000000,0.00000000,0.00000000,17,0.00000000,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,0.04678363,6.77118418,32,0.06250000,8.73928571,0.01731057,27,0.03703704,17.27283951,0.00656815
