timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_ratio,oos_base_lift
d1,bull,1,ema20_slope_up3,7949,7368,0.25550384,0.25176439,0.00373945,1.01485298,1.01485298,2225.00000000,1531.00000000,0.24089888,0.26453298,-0.02363411,0.91065723,0.91065723,1544.00000000,1182.00000000,0.17810881,0.22250423,-0.04439542,0.80047381,0.80047381,0.90246210
h4,bull,3,price20_bull,41315,38144,0.15979668,0.16133599,-0.00153931,0.99045900,0.99045900,10406.00000000,9170.00000000,0.15356525,0.17666303,-0.02309778,0.86925515,0.86925515,7758.00000000,6233.00000000,0.10853313,0.13540831,-0.02687518,0.80152486,0.80152486,0.90064471
h4,bull,3,ema20_rising,41315,38144,0.15979668,0.16133599,-0.00153931,0.99045900,0.99045900,10406.00000000,9170.00000000,0.15356525,0.17666303,-0.02309778,0.86925515,0.86925515,7758.00000000,6233.00000000,0.10853313,0.13540831,-0.02687518,0.80152486,0.80152486,0.90064471
d1,bull,1,rsi_up3,3920,11397,0.24056122,0.25822585,-0.01766462,0.93159235,0.93159235,967.00000000,2789.00000000,0.25542916,0.24883471,0.00659445,1.02650135,1.02650135,727.00000000,1999.00000000,0.17744154,0.20460230,-0.02716076,0.86725095,0.86725095,0.89908111
d1,bear,5,ema20_slope_down3,7332,7985,0.57719585,0.58685034,-0.00965449,0.98354863,0.98354863,1531.00000000,2225.00000000,0.49575441,0.58516854,-0.08941413,0.84719935,0.84719935,1182.00000000,1544.00000000,0.44754653,0.53626943,-0.08872290,0.83455537,0.83455537,0.89905073
d1,bear,3,momentum_bear,4856,10461,0.46190280,0.48217188,-0.02026908,0.95796297,0.95796297,908.00000000,2848.00000000,0.41299559,0.46594101,-0.05294542,0.88636884,0.88636884,740.00000000,1986.00000000,0.37027027,0.42799597,-0.05772570,0.86512560,0.86512560,0.89800423
h4,bull,3,di_bull,37867,41592,0.16090527,0.16019908,0.00070620,1.00440825,1.00440825,9447.00000000,10129.00000000,0.15528739,0.17286998,-0.01758258,0.89829012,0.89829012,6276.00000000,7715.00000000,0.10818993,0.13052495,-0.02233502,0.82888313,0.82888313,0.89779674
h4,bull,12,di_strong_bull,26918,52541,0.44312356,0.44275899,0.00036457,1.00082341,1.00082341,6583.00000000,12993.00000000,0.40634969,0.43454168,-0.02819199,0.93512248,0.93512248,4249.00000000,9742.00000000,0.34196281,0.39837816,-0.05641534,0.85838746,0.85838746,0.89696321
h4,bear,6,trend_bear,26705,52754,0.27433065,0.29620503,-0.02187438,0.92615123,0.92615123,5086.00000000,14490.00000000,0.27742823,0.27867495,-0.00124671,0.99552628,0.99552628,3923.00000000,10068.00000000,0.21157278,0.24553039,-0.03395762,0.86169689,0.86169689,0.89646115
d1,bear,5,bb_lower,3133,12184,0.56878391,0.58568615,-0.01690223,0.97114114,0.97114114,599.00000000,3157.00000000,0.48580968,0.56065885,-0.07484917,0.86649784,0.86649784,494.00000000,2232.00000000,0.44534413,0.50940860,-0.06406447,0.87423755,0.87423755,0.89462645
h4,bear,24,price200_bear,37403,42056,0.55749539,0.58395948,-0.02646409,0.95468163,0.95468163,7673.00000000,11903.00000000,0.49784960,0.56145510,-0.06360549,0.88671313,0.88671313,5764.00000000,8227.00000000,0.44240111,0.53190714,-0.08950602,0.83172622,0.83172622,0.89368090
h4,bear,24,ema200_falling,37403,42056,0.55749539,0.58395948,-0.02646409,0.95468163,0.95468163,7673.00000000,11903.00000000,0.49784960,0.56145510,-0.06360549,0.88671313,0.88671313,5764.00000000,8227.00000000,0.44240111,0.53190714,-0.08950602,0.83172622,0.83172622,0.89368090
h4,bull,12,rsi60,19363,60096,0.43748386,0.44462194,-0.00713808,0.98394574,0.98394574,4831.00000000,14745.00000000,0.38459946,0.43831807,-0.05371861,0.87744377,0.87744377,3639.00000000,10352.00000000,0.34047815,0.39557573,-0.05509758,0.86071547,0.86071547,0.89306896
h4,bear,3,trend_bear,26705,52754,0.15746115,0.16921940,-0.01175825,0.93051479,0.93051479,5086.00000000,14490.00000000,0.18698388,0.16645963,0.02052425,1.12329867,1.12329867,3923.00000000,10068.00000000,0.12006118,0.14004768,-0.01998650,0.85728790,0.85728790,0.89302283
