timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,3,50,sma_stack_bull+adx25+atr_expand,155,0.67096774,1.34588959,17,0.58823529,1.21529800,0.36005443,45,0.62222222,1.41112960,0.47629934
d1,10,50,sma_stack_bull+breakout20_up+elliott_impulse_bull+cross_group_bull,178,0.80337079,1.12233038,90,0.66666667,0.90823359,0.56422318,45,0.62222222,0.91094403,0.47629934
d1,10,50,sma_stack_bull+breakout_up20+elliott_impulse_bull+cross_group_bull,178,0.80337079,1.12233038,90,0.66666667,0.90823359,0.56422318,45,0.62222222,0.91094403,0.47629934
d1,10,50,sma_stack_bull+channel_breakout_up+elliott_impulse_bull+cross_group_bull,178,0.80337079,1.12233038,90,0.66666667,0.90823359,0.56422318,45,0.62222222,0.91094403,0.47629934
d1,10,50,sma_stack_bull+retest_up+elliott_impulse_bull+cross_group_bull,178,0.80337079,1.12233038,90,0.66666667,0.90823359,0.56422318,45,0.62222222,0.91094403,0.47629934
d1,10,50,sma_stack_bull+rci_bull+elliott_wave5_bull+cross_group_bull,190,0.82631579,1.15438516,90,0.68888889,0.93850804,0.58717175,36,0.63888889,0.93534431,0.47575075
d1,10,50,sma_stack_bull+di_spread_up3+breakout20_up+cross_group_bull,126,0.80952381,1.13092632,76,0.65789474,0.89628315,0.54595898,36,0.63888889,0.93534431,0.47575075
d1,10,50,sma_stack_bull+di_spread_up3+breakout_up20+cross_group_bull,126,0.80952381,1.13092632,76,0.65789474,0.89628315,0.54595898,36,0.63888889,0.93534431,0.47575075
d1,10,50,sma_stack_bull+di_spread_up3+channel_breakout_up+cross_group_bull,126,0.80952381,1.13092632,76,0.65789474,0.89628315,0.54595898,36,0.63888889,0.93534431,0.47575075
d1,10,50,sma_stack_bull+di_spread_up3+retest_up+cross_group_bull,126,0.80952381,1.13092632,75,0.66666667,0.90823359,0.55417426,36,0.63888889,0.93534431,0.47575075
d1,10,50,trend_bull+elliott_wave5_bull+mtf_di_strong_bull+cross_group_bull,302,0.80132450,1.11947167,106,0.64150943,0.87396062,0.54674200,47,0.61702128,0.90332975,0.47426567
