timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower,all_samples,all_hit_rate,all_lift,all_wilson95_lower
h4,bear,1,rsi_down1+atr_expand,1679,0.07742704,1.55321261,325,0.06153846,1.18105581,0.04018642,264,0.08333333,2.62003745,0.05567443,2268,0.07583774,1.57973400,0.06564517
h4,bear,1,volatility+rsi_cross45_down,1440,0.07708333,1.54631774,330,0.07575758,1.45395128,0.05183786,202,0.10396040,3.26856158,0.06900682,1972,0.07961460,1.65840772,0.06846813
h4,bear,1,macd_cross_down+breakout20_down,351,0.07692308,1.54310295,69,0.01449275,0.27814720,0.00256292,43,0.13953488,4.38703946,0.06555723,463,0.07343413,1.52966558,0.05302330
h4,bear,1,rsi40+di_cross_down,443,0.07674944,1.53961964,91,0.06593407,1.26541694,0.03056629,42,0.09523810,2.99432852,0.03766225,576,0.07638889,1.59121463,0.05739406
h4,bear,1,price200_cross_down+bb_expand,435,0.07586207,1.52181877,112,0.09821429,1.88494398,0.05572976,94,0.08510638,2.67578293,0.04375549,641,0.08112324,1.68983337,0.06239852
h4,bear,1,breakout20_down+bb_expand,2572,0.07581649,1.52090434,550,0.08181818,1.57026738,0.06170838,422,0.07345972,2.30960648,0.05223167,3544,0.07646727,1.59284731,0.06816944
h4,bear,3,rsi_cross50_down+breakout20_down,204,0.25490196,1.58782180,54,0.12962963,0.78857353,0.06423721,46,0.23913043,1.98438548,0.13912178,304,0.23026316,1.47371029,0.18647959
h4,bear,3,price20_cross_down+breakout20_down,186,0.25268817,1.57403179,38,0.18421053,1.12060449,0.09221765,31,0.25806452,2.14150691,0.13701706,255,0.24313725,1.55610597,0.19455097
h4,bear,3,adx_cross25_up+atr_expand,196,0.24489796,1.52550540,38,0.07894737,0.48025907,0.02721460,38,0.21052632,1.74701879,0.11074792,272,0.21691176,1.38825986,0.17205780
h4,bear,3,breakout20_down+atr_expand+bb_expand,602,0.24418605,1.52107080,107,0.17757009,1.08020887,0.11672951,125,0.24800000,2.05798814,0.18056747,834,0.23621103,1.51177735,0.20863407
h4,bear,3,breakout20_down+atr_expand,778,0.23521851,1.46521069,150,0.16000000,0.97332505,0.10994008,144,0.22916667,1.90170275,0.16808992,1072,0.22388060,1.43286118,0.19993858
h4,bear,3,rsi40+atr_expand,1581,0.23149905,1.44204164,317,0.20820189,1.26655073,0.16713090,298,0.20805369,1.72650012,0.16582624,2196,0.22495446,1.43973404,0.20797944
h4,bear,3,price200_cross_down+breakout20_down,355,0.23098592,1.43884524,101,0.22772277,1.38530174,0.15680827,72,0.20833333,1.72882068,0.13052055,528,0.22727273,1.45457119,0.19357230
h4,bear,3,adx_up3+atr_expand,1626,0.22755228,1.41745659,337,0.19584570,1.19138452,0.15700375,330,0.19090909,1.58422841,0.15215703,2293,0.21761884,1.39278522,0.20120966
h4,bear,3,bb_lower+atr_expand,1846,0.21830986,1.35988422,347,0.20749280,1.26223709,0.16814262,334,0.20658683,1.71432757,0.16662333,2527,0.21527503,1.37778457,0.19968843
h4,bear,3,rsi40+volatility,6682,0.21565400,1.34334046,1250,0.27120000,1.64978595,0.24728303,1198,0.20033389,1.66243858,0.17864294,9130,0.22124863,1.41601629,0.21285248
h4,bear,3,di_cross_down+breakout20_down,300,0.21000000,1.30812088,81,0.17283951,1.05143138,0.10584404,34,0.14705882,1.22034401,0.06449441,415,0.19759036,1.26460069,0.16212993
h4,bear,3,di_strong_bear+atr_expand,2257,0.20957023,1.30544376,431,0.24593968,1.49612029,0.20764568,421,0.19239905,1.59659259,0.15759434,3109,0.21228691,1.35866026,0.19827226
h4,bear,3,adx25+volatility,13559,0.20768493,1.29369999,2791,0.21390183,1.30122504,0.19908747,2339,0.16460026,1.36590877,0.15012466,18689,0.20322115,1.30063835,0.19751330
h4,bear,3,momentum_bear+volatility,8704,0.20645680,1.28604978,1840,0.24239130,1.47453455,0.22336071,1478,0.16711773,1.38679959,0.14896560,12022,0.20712028,1.32559325,0.19997045
h4,bear,3,adx25+atr_expand,2444,0.20621931,1.28457043,473,0.19450317,1.18321755,0.16135230,347,0.12680115,1.05223898,0.09582989,3264,0.19607843,1.25492417,0.18281847
h4,bear,3,rsi_cross45_down+breakout20_down,567,0.20458554,1.27439340,144,0.15972222,0.97163525,0.10885236,102,0.18627451,1.54576908,0.12262080,813,0.19434194,1.24381045,0.16860585
h4,bear,3,adx25+price200_cross_down,484,0.20454545,1.27414372,114,0.27192982,1.65422568,0.19868457,117,0.16239316,1.34759356,0.10649806,715,0.20839161,1.33372989,0.18021795
h4,bear,3,di_strong_bear+volatility,10790,0.20435589,1.27296286,2284,0.23336252,1.41960992,0.21647256,2039,0.18342325,1.52210833,0.16722551,15113,0.20591544,1.31788212,0.19954366
h4,bear,3,rsi40+rsi_cross50_down,261,0.20306513,1.26492258,49,0.14285714,0.86904022,0.07096424,45,0.28888889,2.39729801,0.17730082,355,0.20563380,1.31607963,0.16684933
h4,bear,3,ema20_slope_down3+atr_expand,2514,0.20206842,1.25871389,494,0.21659919,1.31763386,0.18253542,412,0.18689320,1.55090321,0.15220664,3420,0.20233918,1.29499368,0.18921225
