h,lag,feature,n,wins,hit,rank_score
3,2,price200_cross_down,19,7.0,0.3684210526315789,1.1036908376251544
3,2,di_cross_down,51,14.0,0.27450980392156865,1.0846551384341174
3,5,range_tight,66,17.0,0.25757575757575757,1.0830268868128246
3,4,range_tight,64,16.0,0.25,1.0435968174739092
3,3,range_tight,71,17.0,0.23943661971830985,1.0239904792010273
3,0,price200_cross_down,6,1.0,0.16666666666666666,0.3243183581758855
6,0,volatility,453,255.0,0.5629139072847682,3.4439619988974477
6,1,volatility,470,262.0,0.5574468085106383,3.4310060013453225
6,5,volatility,462,253.0,0.5476190476190477,3.3611362439043666
6,3,adx25,580,305.0,0.5258620689655172,3.3469810014479875
6,6,atr_expand,194,122.0,0.6288659793814433,3.3160100316741086
6,2,adx25,573,299.0,0.5218150087260035,3.3148973638735613
6,2,volatility,457,247.0,0.5404814004376368,3.311458836928236
6,4,bb_bear,590,306.0,0.5186440677966102,3.3098910191970616
6,4,adx_rising,633,323.0,0.5102685624012638,3.2922777445232607
6,4,volatility,465,249.0,0.535483870967742,3.290112307305991
6,5,bb_bear,602,309.0,0.5132890365448505,3.286033909948007
6,6,volatility,453,243.0,0.5364238410596026,3.2818931989493323
6,4,adx25,564,292.0,0.5177304964539007,3.2807679317282994
6,5,macd_bear,669,337.0,0.5037369207772795,3.277956037479445
6,3,volatility,447,240.0,0.5369127516778524,3.2777413328402605
6,3,bb_bear,590,303.0,0.5135593220338983,3.2774411072441487
6,5,adx_rising,651,329.0,0.5053763440860215,3.2748612302209965
6,5,price20_bear,596,305.0,0.511744966442953,3.2710314086992343
6,3,price20_bear,585,300.0,0.5128205128205128,3.268369122860006
6,3,adx_rising,616,313.0,0.5081168831168831,3.2645844228610166
6,1,adx25,582,298.0,0.5120274914089347,3.2606869098495643
6,5,adx25,559,288.0,0.5152057245080501,3.26018925530234
6,2,price20_bear,580,297.0,0.5120689655172413,3.259191335836237
6,0,adx25,581,297.0,0.5111876075731497,3.2544607968609935
