timeframe,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull,551,146,1.95579391,1.59852654,4,4,0.20991565,0.12903226
h4,3,trend_bull+adx25+pin_bull,236,31,1.95320713,1.39616298,4,3,0.11309524,0.00000000
h4,3,ichimoku_cloud_bull+pin_bull+elliott_pullback_bull,150,36,1.95179941,2.75196070,4,3,0.20627706,0.10000000
h4,3,sma_stack_bull+atr_expand+mtf_volatility,359,49,1.94335507,1.86423144,5,3,0.26111111,0.00000000
h4,3,pin_bull+mtf_trend_bull,829,199,1.92359668,1.52831211,4,4,0.20926067,0.15151515
h4,3,stoch_cross_up+atr_expand+mtf_volatility,270,38,1.91488595,2.46619522,2,2,0.48333333,0.16666667
h4,3,pin_bull+cross_target_relative_up,625,136,1.90362734,1.90486594,4,4,0.24569257,0.20000000
h4,3,volatility+horizontal_break_up+mtf_trend_bull+cross_group_bull,302,77,1.89762096,1.87755603,7,6,0.28072152,0.05882353
h4,3,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,99,1.88715539,2.35152060,4,4,0.21810039,0.12500000
h4,3,trend_bull+atr_expand+mtf_volatility,393,56,1.87032915,1.85143351,5,3,0.25460317,0.00000000
h4,3,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,83,1.86874412,2.35296739,4,4,0.22769979,0.12500000
h4,3,sma_stack_bull+pin_bull+cross_group_return_up,291,47,1.86232232,1.36873835,4,3,0.19861389,0.07692308
h4,3,adx25+atr_expand+horizontal_resistance_near+cross_group_bull,171,24,1.85781579,1.21665631,1,1,0.22222222,0.22222222
h4,3,adx25+atr_expand+horizontal_resistance_near+cross_group_return_up,198,28,1.85615998,1.65907678,1,1,0.22222222,0.22222222
h4,3,pin_bull+cross_group_return_up,685,162,1.84601001,2.07022670,4,4,0.22018508,0.17948718
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_return_up,287,85,1.84486934,1.94327049,4,4,0.23951863,0.14285714
h4,3,pin_bull+elliott_pullback_bull,247,49,1.84100298,2.72698828,4,3,0.19771242,0.08333333
h4,3,adx25+horizontal_break_up+mtf_trend_bull+cross_group_bull,613,87,1.83927507,1.28069085,8,3,0.15189671,0.00000000
h4,3,pin_bull+cross_group_bull,569,146,1.83918578,2.03948167,4,4,0.22844474,0.15625000
h4,3,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,1.83918578,2.37247980,8,5,0.29945315,0.00000000
h4,3,pin_bull+elliott_pullback_bull+mtf_trend_bull,156,39,1.83679978,2.18998135,4,3,0.21309524,0.10000000
h4,3,adx25+volatility+horizontal_break_up+mtf_trend_bull,364,54,1.83109543,1.92884537,4,2,0.20614035,0.00000000
h4,3,atr_expand+mtf_volatility,1172,172,1.82303536,2.09112803,11,8,0.26671210,0.00000000
h4,3,volatility+horizontal_break_up+mtf_trend_bull+cross_group_return_up,339,91,1.81913144,1.89693725,7,6,0.28192904,0.10526316
h4,3,sma_stack_bull+pin_bull+mtf_adx25,230,27,1.81457762,1.01388026,2,2,0.31944444,0.22222222
h4,3,sma_stack_bull+volatility+retest_up+mtf_volatility,244,40,1.81257968,1.62220841,4,3,0.14813312,0.00000000
h4,3,sma_stack_bull+volatility+horizontal_break_up+mtf_volatility,227,39,1.81111765,1.75739245,4,2,0.12152778,0.00000000
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,73,1.80929583,1.81590494,4,4,0.24015185,0.14285714
h4,3,pin_bull+mtf_trend_bull+cross_group_return_up,435,113,1.80430467,1.74612711,4,4,0.22690616,0.13636364
h4,3,sma_stack_bull+pin_bull+cross_group_bull,235,45,1.80247660,1.24998936,4,3,0.18286713,0.07692308
h4,3,sma_stack_bull+atr_expand+mtf_volatility+cross_target_relative_up,166,22,1.80119915,2.02776051,1,1,0.16666667,0.16666667
h4,3,trend_bull+pin_bull+cross_group_return_up,354,65,1.79483899,1.60690456,4,3,0.17530080,0.09090909
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_target_relative_up,254,65,1.79026668,1.70758780,4,3,0.21982601,0.07692308
h4,3,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_return_up,237,47,1.78726583,1.38256399,4,3,0.19861389,0.07692308
h4,3,trend_bull+pin_bull,644,117,1.77975631,1.50481175,4,3,0.15647233,0.08333333
h4,3,trend_bull+atr_expand+mtf_volatility+cross_target_relative_up,189,23,1.77975631,1.76094992,1,1,0.16666667,0.16666667
h4,3,adx25+horizontal_break_up+mtf_trend_bull+cross_group_return_up,706,95,1.77345405,1.30356033,9,3,0.13678163,0.00000000
h4,3,trend_bull+pin_bull+mtf_adx25,260,33,1.77291109,1.52082039,2,2,0.34615385,0.30769231
h4,3,trend_bull+pin_bull+mtf_trend_bull+cross_group_return_up,292,62,1.77061372,1.61243607,4,4,0.18382353,0.12500000
h4,3,adx_up3+atr_expand+mtf_adx25+cross_target_relative_up,271,44,1.76990526,0.73736746,4,2,0.24375000,0.00000000
h4,3,trend_bull+volatility+horizontal_break_up+mtf_volatility,257,45,1.76936862,1.73808044,5,3,0.21833333,0.00000000
h4,3,pin_bull+mtf_trend_bull+cross_group_bull,363,104,1.76749903,1.59762950,4,4,0.22832675,0.17391304
h4,3,ichimoku_cloud_bull+adx25+horizontal_break_up+mtf_trend_bull,765,90,1.76696067,1.24657409,7,3,0.09782980,0.00000000
h4,3,volatility+horizontal_resistance_near+mtf_trend_bull+cross_group_bull,441,100,1.76563126,1.52082039,7,5,0.31799386,0.04761905
h4,3,adx25+elliott_pullback_bull+mtf_volatility+cross_group_bull,988,201,1.76534532,1.34865204,11,8,0.17019020,0.00000000
h4,3,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_trend_bull,526,143,1.76453025,1.06868460,9,5,0.21269124,0.00000000
h4,3,adx25+volatility+elliott_pullback_bull+mtf_volatility,992,162,1.76450638,1.48702438,12,8,0.15264039,0.00000000
h4,3,trend_bull+volatility+retest_up+mtf_volatility,290,48,1.76134503,1.60690456,5,3,0.25595960,0.00000000
h4,3,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,28,1.76134503,2.25306724,2,2,0.32222222,0.20000000
h4,3,sma_stack_bull+pin_bull,538,93,1.75990772,1.41289120,4,3,0.16851036,0.10526316
h4,3,adx25+horizontal_break_up+mtf_volatility+cross_group_return_up,363,52,1.75033885,1.45998757,4,2,0.23674242,0.00000000
