timeframe,period,from_target,to_target,condition,samples,exit_precision,baseline_exit_precision,lift,wilson95_lower,exit_price_from_target_pips_mean,future_mfe_from_exit_pips_mean,future_mae_from_exit_pips_mean,bars_after_target_mean
d1,discovery,150,200,adx_down3+macd_accel_down,352,0.85227273,0.54684950,1.55851423,0.81140703,-122.93068182,67.28210227,-99.17670455,2.63068182
d1,validation,150,200,adx_down3+macd_accel_down,80,0.81250000,0.57772848,1.40636999,0.71341677,-100.73000000,72.78250000,-92.94625000,2.52500000
d1,oos,150,200,adx_down3+macd_accel_down,41,0.63414634,0.51495554,1.23145844,0.48120701,-58.27560976,65.17073171,-71.87560976,2.78048780
d1,discovery,150,200,di_spread_down3,1554,0.85070785,0.54684950,1.55565261,0.83212511,-99.57239382,59.81891892,-61.93918919,2.94980695
d1,validation,150,200,di_spread_down3,400,0.86500000,0.57772848,1.49724313,0.82801902,-114.53375000,71.82150000,-60.43525000,2.93500000
d1,oos,150,200,di_spread_down3,256,0.81250000,0.51495554,1.57780612,0.76019806,-80.74218750,56.41484375,-64.24765625,2.99609375
d1,discovery,150,200,strong_close_bear+adx_down3,204,0.80392157,0.54684950,1.47009656,0.74403641,-115.12450980,84.08578431,-85.94558824,2.34803922
d1,validation,150,200,strong_close_bear+adx_down3,58,0.68965517,0.57772848,1.19373580,0.56196936,-103.03793103,97.37931034,-71.69137931,2.08620690
d1,oos,150,200,strong_close_bear+adx_down3,17,0.52941176,0.51495554,1.02807277,0.30963235,-41.70000000,99.71764706,-59.67647059,2.35294118
d1,discovery,150,200,price20_cross_down+adx_down3,181,0.76243094,0.54684950,1.39422444,0.69538095,-104.58674033,88.82762431,-101.68287293,2.16022099
d1,validation,150,200,price20_cross_down+adx_down3,34,0.64705882,0.57772848,1.12000506,0.47913963,-123.64705882,115.86764706,-76.86470588,2.20588235
d1,oos,150,200,price20_cross_down+adx_down3,16,0.43750000,0.51495554,0.84958791,0.23098652,-65.33750000,128.46250000,-52.35625000,2.75000000
d1,discovery,150,200,strong_close_bear,1494,0.74230254,0.54684950,1.35741651,0.71952307,-69.14966533,68.13206158,-75.68065596,2.28848728
d1,validation,150,200,strong_close_bear,411,0.72506083,0.57772848,1.25502005,0.67996146,-89.88661800,81.06545012,-64.36228710,2.35766423
d1,oos,150,200,strong_close_bear,203,0.73891626,0.51495554,1.43491273,0.67445761,-74.54778325,61.98965517,-61.54137931,2.38423645
d1,discovery,150,200,close_near_low,1882,0.71041445,0.54684950,1.29910414,0.68951032,-64.90010627,71.56695005,-72.85000000,2.20616366
d1,validation,150,200,close_near_low,465,0.72473118,0.57772848,1.25444946,0.68241809,-73.96795699,73.17827957,-76.52559140,2.17419355
d1,oos,150,200,close_near_low,268,0.68656716,0.51495554,1.33325523,0.62872302,-56.63097015,61.03022388,-62.17388060,2.28731343
d1,discovery,150,200,ema20_slope_down3,759,0.70223979,0.54684950,1.28415549,0.66875596,-119.26706192,98.37246377,-103.04031621,1.87220026
d1,validation,150,200,ema20_slope_down3,189,0.66137566,0.57772848,1.14478632,0.59129068,-122.78148148,110.61798942,-103.39788360,1.99470899
d1,oos,150,200,ema20_slope_down3,101,0.69306931,0.51495554,1.34588184,0.59742652,-120.46534653,98.29603960,-85.10396040,1.83168317
d1,discovery,150,200,atr_expand,471,0.64331210,0.54684950,1.17639698,0.59905184,-60.53142251,79.62080679,-89.64501062,1.76220807
d1,validation,150,200,atr_expand,100,0.48000000,0.57772848,0.83084012,0.38464552,-36.59800000,94.42200000,-119.01700000,1.48000000
d1,oos,150,200,atr_expand,87,0.57471264,0.51495554,1.11604323,0.46983887,-46.94367816,61.83448276,-110.06091954,1.52873563
d1,discovery,150,200,macd_accel_down,2739,0.63490325,0.54684950,1.16102008,0.61669537,-49.05885360,74.94439576,-73.42051844,2.11244980
d1,validation,150,200,macd_accel_down,667,0.71964018,0.57772848,1.24563736,0.68436899,-63.08725637,71.96281859,-73.72683658,2.19340330
d1,oos,150,200,macd_accel_down,424,0.62971698,0.51495554,1.22285699,0.58278166,-40.98655660,59.02358491,-66.74740566,2.28773585
d1,discovery,150,200,adx_down3+structure_lh,504,0.61111111,0.54684950,1.11751242,0.56786318,-57.78630952,75.92976190,-90.37599206,2.06547619
d1,validation,150,200,adx_down3+structure_lh,103,0.63106796,0.57772848,1.09232621,0.53474083,-55.15631068,72.76893204,-96.75242718,2.12621359
d1,oos,150,200,adx_down3+structure_lh,69,0.47826087,0.51495554,0.92874207,0.36468721,-27.89420290,84.86086957,-79.18985507,2.20289855
d1,discovery,150,200,pullback_bull,3092,0.55498060,0.54684950,1.01486898,0.53740623,-31.73250323,81.25158473,-77.95601552,1.79301423
d1,validation,150,200,pullback_bull,787,0.57941550,0.57772848,1.00292009,0.54462231,-34.09669632,76.23799238,-87.12833545,1.73951715
d1,oos,150,200,pullback_bull,516,0.53488372,0.51495554,1.03869884,0.49174829,-25.95348837,71.46918605,-71.76666667,1.76937984
d1,discovery,150,200,structure_lh,3215,0.53965785,0.54684950,0.98684895,0.52239186,-29.27545879,81.49527216,-79.12811820,1.76298600
d1,validation,150,200,structure_lh,797,0.57340025,0.57772848,0.99250819,0.53879214,-37.36687578,77.09523212,-79.62885822,1.81053952
