timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,discovery,100,150,sma_stack_bull+atr_expand+retest_up+cross_group_bull,50,0.40000000,3623.64245524,0.00011039,0.27608390
h4,discovery,150,200,sma_stack_bull+atr_expand+retest_up+cross_group_bull,30,0.30000000,3751.26678899,0.00007997,0.16664748
h4,discovery,200,300,sma_stack_bull+atr_expand+retest_up+cross_group_bull,18,0.05555556,3934.45852895,0.00001412,0.00987519
h4,validation,50,100,sma_stack_bull+atr_expand+retest_up+cross_group_bull,16,0.37500000,7347.28747795,0.00005104,0.18481233
h4,validation,100,150,sma_stack_bull+atr_expand+retest_up+cross_group_bull,6,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,sma_stack_bull+atr_expand+retest_up+cross_group_bull,3,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,sma_stack_bull+atr_expand+retest_up+cross_group_bull,2,0.50000000,7258.32947977,0.00006889,0.09453121
h4,oos,50,100,sma_stack_bull+atr_expand+retest_up+cross_group_bull,9,0.11111111,8766.86496956,0.00001267,0.01989089
h4,oos,100,150,sma_stack_bull+atr_expand+retest_up+cross_group_bull,2,0.00000000,8737.06716418,0.00000000,0.00000000
h4,oos,150,200,sma_stack_bull+atr_expand+retest_up+cross_group_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,sma_stack_bull+atr_expand+retest_up+cross_group_bull,0,,8875.16666667,,
h4,discovery,50,100,trend_bull+adx_up3+atr_expand+cross_group_bull,142,0.47183099,3459.27368120,0.00013640,0.39155048
h4,discovery,100,150,trend_bull+adx_up3+atr_expand+cross_group_bull,79,0.48101266,3623.64245524,0.00013274,0.37429730
h4,discovery,150,200,trend_bull+adx_up3+atr_expand+cross_group_bull,41,0.36585366,3751.26678899,0.00009753,0.23589831
h4,discovery,200,300,trend_bull+adx_up3+atr_expand+cross_group_bull,20,0.20000000,3934.45852895,0.00005083,0.08065766
h4,validation,50,100,trend_bull+adx_up3+atr_expand+cross_group_bull,32,0.50000000,7347.28747795,0.00006805,0.33630883
h4,validation,100,150,trend_bull+adx_up3+atr_expand+cross_group_bull,18,0.16666667,7312.54635108,0.00002279,0.05836577
h4,validation,150,200,trend_bull+adx_up3+atr_expand+cross_group_bull,9,0.66666667,7287.60933333,0.00009148,0.35420214
h4,validation,200,300,trend_bull+adx_up3+atr_expand+cross_group_bull,9,0.11111111,7258.32947977,0.00001531,0.01989089
h4,oos,50,100,trend_bull+adx_up3+atr_expand+cross_group_bull,15,0.13333333,8766.86496956,0.00001521,0.03736126
h4,oos,100,150,trend_bull+adx_up3+atr_expand+cross_group_bull,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,trend_bull+adx_up3+atr_expand+cross_group_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,trend_bull+adx_up3+atr_expand+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,90,0.46666667,3459.27368120,0.00013490,0.36708425
