horizon_bars,condition,disc_n,disc_hit,disc_lift,val_n,val_hit,val_lift,oos_n,oos_hit,oos_lift,oos_pairs_ge5,oos_pairs_above_base,oos_pair_mean,oos_pair_min
3,pin+adx_rising,430,0.35813953,2.16702782,127,0.35433071,2.06255663,69,0.37681159,2.80274908,4,4,0.39276316,0.25000000
3,pin+early_drop_atr10<=1.0+adx_rising,200,0.34000000,2.05726927,73,0.31506849,1.83401154,32,0.37500000,2.78927432,3,3,0.47635328,0.38461538
3,pin+near_recent_high_atr10<=1.0+adx_rising,200,0.34000000,2.05726927,73,0.31506849,1.83401154,32,0.37500000,2.78927432,3,3,0.47635328,0.38461538
3,pin+early_drop_atr3<=0.5+di_strong_bear,48,0.22916667,1.38663982,20,0.55000000,3.20154624,20,0.35000000,2.60332270,2,1,0.27777778,0.22222222
3,pin+bb_bear,414,0.37198068,2.25077769,121,0.47107438,2.74212075,69,0.34782609,2.58715299,4,4,0.35900107,0.31250000
3,pin+early_drop_atr10<=1.0+price200_bear,83,0.31325301,1.89542881,28,0.28571429,1.66314090,26,0.34615385,2.57471476,2,1,0.37362637,0.28571429
3,pin+near_recent_high_atr10<=1.0+price200_bear,83,0.31325301,1.89542881,28,0.28571429,1.66314090,26,0.34615385,2.57471476,2,1,0.37362637,0.28571429
3,pin+macd_bear,465,0.34623656,2.09500539,113,0.39823009,2.31809462,61,0.34426230,2.56064528,4,4,0.35653409,0.31250000
3,pin+early_drop_atr3<=1.0+bb_bear,184,0.34782609,2.10462329,58,0.53448276,3.11122048,32,0.34375000,2.55683480,4,2,0.37222222,0.22222222
3,pin+near_recent_high_atr10<=1.5+adx_rising,250,0.34400000,2.08147243,84,0.36904762,2.14822367,38,0.34210526,2.54460114,4,3,0.31825397,0.00000000
3,pin+early_drop_atr3<=0.5,312,0.34615385,2.09450491,107,0.36448598,2.12167040,56,0.33928571,2.52362915,4,3,0.34323030,0.27272727
3,pin+adx25,417,0.35011990,2.11850270,92,0.42391304,2.46759493,72,0.33333333,2.47935495,4,4,0.34462719,0.26666667
3,pin+early_drop_atr10<=1.0,320,0.29375000,1.77742014,126,0.31746032,1.84793434,66,0.33333333,2.47935495,4,2,0.31145833,0.10000000
3,pin+near_recent_high_atr10<=1.0,320,0.29375000,1.77742014,126,0.31746032,1.84793434,66,0.33333333,2.47935495,4,2,0.31145833,0.10000000
3,pin+early_drop_atr10<=1.0+elliott_pullback_bear,12,0.16666667,1.00846533,0,,,3,0.33333333,2.47935495,0,0,,
3,pin+near_recent_high_atr10<=1.0+elliott_pullback_bear,12,0.16666667,1.00846533,0,,,3,0.33333333,2.47935495,0,0,,
3,pin+early_drop_atr3<=1.0+price200_bear,196,0.32142857,1.94489742,58,0.46551724,2.70977268,43,0.32558140,2.42169554,4,3,0.31964286,0.25000000
3,pin+early_drop_atr3<=1.0,539,0.32096475,1.94209093,180,0.38888889,2.26371956,96,0.31250000,2.32439527,4,3,0.30413105,0.16666667
3,pin+range_atr<=1.5,763,0.33027523,1.99842670,240,0.40000000,2.32839726,136,0.30882353,2.29704944,4,2,0.31843050,0.23333333
3,pin,869,0.33601841,2.03317751,262,0.39694656,2.31062324,146,0.30821918,2.29255424,4,3,0.31871601,0.27272727
3,pin+near_recent_high_atr10<=1.5+bb_bear,70,0.30000000,1.81523759,35,0.51428571,2.99365363,13,0.30769231,2.28863534,1,0,0.00000000,0.00000000
3,pin+near_recent_high_atr10<=1.5+elliott_pullback_bear,59,0.15254237,0.92300216,10,0.40000000,2.32839726,10,0.30000000,2.23141946,0,0,,
3,pin+di_strong_bear,270,0.35185185,2.12898236,83,0.44578313,2.59490057,66,0.28787879,2.14126110,4,3,0.30417088,0.26315789
3,pin+early_drop_atr3<=1.5,691,0.33140376,2.00525522,221,0.39819005,2.31786153,119,0.28571429,2.12516139,4,2,0.29286859,0.19230769
3,pin+near_recent_high_atr10<=1.5,460,0.30652174,1.85469927,162,0.37037037,2.15592339,85,0.28235294,2.10015949,4,2,0.28076726,0.11764706
3,pin+early_drop_atr3<=1.0+di_strong_bear,111,0.27027027,1.63534918,36,0.50000000,2.91049658,32,0.28125000,2.09195574,4,3,0.30054945,0.23076923
3,pin+near_recent_high_atr10<=1.5+price200_bear,130,0.32307692,1.95487125,46,0.47826087,2.78395325,33,0.27272727,2.02856314,3,1,0.22023810,0.00000000
3,pin+price200_bear,352,0.33806818,2.04558024,95,0.48421053,2.81858616,67,0.26865672,1.99828608,4,2,0.28033425,0.21428571
3,pin+early_drop_atr3<=1.0+macd_bear,216,0.31481481,1.90487895,55,0.43636364,2.54006974,30,0.26666667,1.98348396,4,2,0.29821429,0.14285714
3,pin+early_drop_atr10<=1.0+di_strong_bear,20,0.15000000,0.90761879,15,0.40000000,2.32839726,12,0.25000000,1.85951621,1,1,0.40000000,0.40000000
3,pin+near_recent_high_atr10<=1.0+di_strong_bear,20,0.15000000,0.90761879,15,0.40000000,2.32839726,12,0.25000000,1.85951621,1,1,0.40000000,0.40000000
3,pin+early_drop_atr3<=1.0+elliott_pullback_bear,84,0.27380952,1.65676446,22,0.50000000,2.91049658,13,0.23076923,1.71647651,1,0,0.00000000,0.00000000
3,pin+near_recent_high_atr10<=1.5+di_strong_bear,40,0.30000000,1.81523759,24,0.50000000,2.91049658,18,0.22222222,1.65290330,2,2,0.34285714,0.28571429
3,pin+range_tight,42,0.23809524,1.44066475,29,0.31034483,1.80651512,11,0.18181818,1.35237543,1,1,0.33333333,0.33333333
3,pin+early_drop_atr10<=1.0+macd_bear,53,0.28301887,1.71248829,16,0.18750000,1.09143622,8,0.12500000,0.92975811,0,0,,
3,pin+near_recent_high_atr10<=1.0+macd_bear,53,0.28301887,1.71248829,16,0.18750000,1.09143622,8,0.12500000,0.92975811,0,0,,
3,pin+near_recent_high_atr10<=1.5+macd_bear,119,0.26890756,1.62710372,31,0.32258065,1.87773973,17,0.11764706,0.87506645,1,0,0.00000000,0.00000000
3,pin+near_recent_high_atr10<=1.5+range_tight,30,0.23333333,1.41185146,17,0.35294118,2.05446817,6,0.00000000,0.00000000,0,0,,
3,pin+early_drop_atr3<=1.0+range_tight,24,0.25000000,1.51269799,15,0.40000000,2.32839726,5,0.00000000,0.00000000,0,0,,
3,pin+early_drop_atr10<=1.0+range_tight,19,0.31578947,1.91077641,12,0.41666667,2.42541382,3,0.00000000,0.00000000,0,0,,
3,pin+near_recent_high_atr10<=1.0+range_tight,19,0.31578947,1.91077641,12,0.41666667,2.42541382,3,0.00000000,0.00000000,0,0,,
3,pin+early_drop_atr3<=0.5+range_tight,12,0.50000000,3.02539598,11,0.36363636,2.11672479,2,0.00000000,0.00000000,0,0,,
3,pin+breakout_down20,17,0.41176471,2.49150257,2,0.50000000,2.91049658,1,0.00000000,0.00000000,0,0,,
3,pin+retest_down,17,0.41176471,2.49150257,2,0.50000000,2.91049658,1,0.00000000,0.00000000,0,0,,
3,pin+early_drop_atr3<=0.5+breakout_down20,0,,,0,,,0,,,0,0,,
3,pin+early_drop_atr3<=0.5+retest_down,0,,,0,,,0,,,0,0,,
3,pin+early_drop_atr3<=1.0+breakout_down20,0,,,0,,,0,,,0,0,,
3,pin+early_drop_atr3<=1.0+retest_down,0,,,0,,,0,,,0,0,,
3,pin+early_drop_atr10<=1.0+breakout_down20,0,,,0,,,0,,,0,0,,
3,pin+early_drop_atr10<=1.0+retest_down,0,,,0,,,0,,,0,0,,
3,pin+near_recent_high_atr10<=1.0+breakout_down20,0,,,0,,,0,,,0,0,,
3,pin+near_recent_high_atr10<=1.0+retest_down,0,,,0,,,0,,,0,0,,
3,pin+near_recent_high_atr10<=1.5+breakout_down20,0,,,0,,,0,,,0,0,,
3,pin+near_recent_high_atr10<=1.5+retest_down,0,,,0,,,0,,,0,0,,
6,pin+early_drop_atr3<=0.5+atr_expand,13,0.53846154,1.86413451,3,0.33333333,1.19752860,2,1.00000000,4.23712901,0,0,,
6,pin+atr_expand,61,0.59016393,2.04312635,11,0.63636364,2.28619096,8,0.75000000,3.17784676,0,0,,
6,pin+early_drop_atr10<=1.0+adx25,145,0.50344828,1.74291986,41,0.48780488,1.75248088,31,0.67741935,2.87031320,3,3,0.70259740,0.57142857
6,pin+near_recent_high_atr10<=1.0+adx25,145,0.50344828,1.74291986,41,0.48780488,1.75248088,31,0.67741935,2.87031320,3,3,0.70259740,0.57142857
6,pin+early_drop_atr3<=1.0+atr_expand,19,0.57894737,2.00429500,5,0.20000000,0.71851716,3,0.66666667,2.82475268,0,0,,
6,pin+early_drop_atr10<=1.0+atr_expand,18,0.55555556,1.92331339,3,0.00000000,0.00000000,3,0.66666667,2.82475268,0,0,,
6,pin+early_drop_atr10<=1.0+elliott_pullback_bear,12,0.33333333,1.15398803,0,,,3,0.66666667,2.82475268,0,0,,
6,pin+near_recent_high_atr10<=1.0+atr_expand,18,0.55555556,1.92331339,3,0.00000000,0.00000000,3,0.66666667,2.82475268,0,0,,
6,pin+near_recent_high_atr10<=1.0+elliott_pullback_bear,12,0.33333333,1.15398803,0,,,3,0.66666667,2.82475268,0,0,,
6,pin+near_recent_high_atr10<=1.5+atr_expand,20,0.55000000,1.90408025,4,0.25000000,0.89814645,3,0.66666667,2.82475268,0,0,,
6,pin+early_drop_atr10<=1.0+price200_bear,83,0.45783133,1.58499561,28,0.39285714,1.41137299,26,0.65384615,2.77043051,2,2,0.73626374,0.61538462
6,pin+near_recent_high_atr10<=1.0+price200_bear,83,0.45783133,1.58499561,28,0.39285714,1.41137299,26,0.65384615,2.77043051,2,2,0.73626374,0.61538462
