timeframe,target_pips,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,50,3,volatility+pin_bull+mtf_volatility+cross_group_return_up,128,0.44531250,2.77391705,17,0.29411765,1.78920045,0.13279990,22,0.40909091,3.39477515,0.23255816
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_volatility+cross_group_return_up,131,0.43511450,2.71039224,25,0.44000000,2.67664388,0.26665639,22,0.36363636,3.01757791,0.19733205
h4,50,3,pin_bull+mtf_volatility,488,0.43237705,2.69334023,111,0.43243243,2.63060823,0.34405637,86,0.38372093,3.18424646,0.28801440
h4,50,3,adx25+pin_bull+mtf_adx25,310,0.42903226,2.67250503,30,0.33333333,2.02776051,0.19230498,67,0.20895522,1.73398134,0.12875685
h4,50,3,ichimoku_cloud_bull+volatility+pin_bull,243,0.42386831,2.64033806,66,0.33333333,2.02776051,0.23156429,59,0.28813559,2.39104691,0.18836500
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+mtf_adx25,149,0.42281879,2.63380044,11,0.27272727,1.65907678,0.09746059,30,0.20000000,1.65966785,0.09505107
h4,50,3,adx25+pin_bull+mtf_adx25+cross_target_relative_up,135,0.42222222,2.63008432,10,0.20000000,1.21665631,0.05668215,36,0.16666667,1.38305654,0.07870448
h4,50,3,adx25+volatility+pin_bull+cross_group_return_up,128,0.42187500,2.62792142,39,0.38461538,2.33972367,0.24891373,34,0.26470588,2.19661922,0.14601191
h4,50,3,volatility+pin_bull+mtf_adx25,250,0.41600000,2.59132518,28,0.32142857,1.95534050,0.17933247,35,0.34285714,2.84514489,0.20831695
h4,50,3,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,0.41304348,2.57290857,37,0.32432432,1.97295618,0.19633267,52,0.28846154,2.39375171,0.18329960
h4,50,3,volatility+pin_bull,479,0.41127349,2.56188303,119,0.33613445,2.04480052,0.25756607,82,0.29268293,2.42878222,0.20526339
h4,50,3,ichimoku_cloud_bull+volatility+pin_bull+cross_group_return_up,127,0.40944882,2.55051691,36,0.47222222,2.87266073,0.31986042,29,0.37931034,3.14764593,0.22688022
h4,50,3,volatility+pin_bull+mtf_trend_bull+cross_group_bull,128,0.40625000,2.53059100,36,0.30555556,1.85878047,0.18004452,32,0.37500000,3.11187722,0.22933887
h4,50,3,volatility+pin_bull+mtf_trend_bull,299,0.40468227,2.52082540,58,0.25862069,1.57326247,0.16345545,69,0.31884058,2.64584730,0.22094760
h4,50,3,pin_bull+mtf_volatility+cross_group_bull,211,0.39810427,2.47985002,45,0.37777778,2.29812858,0.25108085,47,0.36170213,3.00152697,0.23966213
h4,50,3,adx25+pin_bull+mtf_trend_bull+cross_group_bull,151,0.39735099,2.47515778,41,0.26829268,1.63209993,0.15694964,47,0.19148936,1.58904369,0.10415933
h4,50,3,adx25+pin_bull+mtf_trend_bull+cross_group_return_up,180,0.39444444,2.45705245,42,0.28571429,1.73808044,0.17167025,52,0.17307692,1.43625103,0.09382474
h4,50,3,sma_stack_bull+pin_bull+mtf_volatility,140,0.39285714,2.44716492,19,0.42105263,2.56138170,0.23141891,13,0.38461538,3.19166895,0.17709708
h4,50,3,volatility+pin_bull+mtf_trend_bull+cross_group_return_up,148,0.39189189,2.44115223,37,0.32432432,1.97295618,0.19633267,34,0.38235294,3.17289442,0.23900183
h4,50,3,pin_bull+mtf_volatility+cross_group_return_up,250,0.38800000,2.41690906,49,0.40816327,2.48297206,0.28215239,53,0.33962264,2.81830390,0.22687039
h4,50,3,adx_up3+pin_bull+mtf_trend_bull,160,0.38750000,2.41379449,39,0.35897436,2.18374209,0.22742085,55,0.30909091,2.56494123,0.20282288
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,0.38666667,2.40860353,45,0.28888889,1.75739245,0.17730082,60,0.20000000,1.65966785,0.11828505
h4,50,3,volatility+pin_bull+cross_group_bull,202,0.38613861,2.40531421,57,0.35087719,2.13448475,0.24000422,40,0.32500000,2.69696026,0.20084502
h4,50,3,adx25+pin_bull,588,0.38095238,2.37300841,149,0.32885906,2.00054225,0.25855641,130,0.22307692,1.85116799,0.16004939
h4,50,3,adx25+pin_bull+mtf_adx25+cross_group_return_up,137,0.37956204,2.36434779,13,0.38461538,2.33972367,0.17709708,38,0.15789474,1.31026409,0.07443863
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_target_relative_up,161,0.37888199,2.36011162,19,0.21052632,1.28069085,0.08507677,30,0.23333333,1.93627916,0.11792388
h4,50,3,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,0.37745098,2.35119767,37,0.37837838,2.30178220,0.24063999,15,0.20000000,1.65966785,0.07047549
h4,50,3,trend_bull+pin_bull+mtf_volatility,159,0.37735849,2.35062154,23,0.39130435,2.38041452,0.22157623,17,0.35294118,2.92882562,0.17309720
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull,306,0.37581699,2.34101932,75,0.33333333,2.02776051,0.23708221,71,0.21126761,1.75317027,0.13242551
h4,50,3,adx25+pin_bull+mtf_trend_bull,340,0.37352941,2.32676964,75,0.26666667,1.62220841,0.17976314,94,0.20212766,1.67732389,0.13339482
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+cross_group_bull,137,0.37226277,2.31887957,37,0.45945946,2.79502125,0.31038570,36,0.19444444,1.61356597,0.09753095
h4,50,3,adx_up3+pin_bull,258,0.37209302,2.31782216,65,0.38461538,2.33972367,0.27595007,61,0.31147541,2.58472862,0.20937433
h4,50,3,volatility+pin_bull+cross_group_return_up,235,0.36595745,2.27960276,61,0.36065574,2.19397039,0.25174112,43,0.32558140,2.70178488,0.20493297
h4,50,3,sma_stack_bull+volatility+pin_bull,157,0.36305732,2.26153747,36,0.16666667,1.01388026,0.07870448,19,0.31578947,2.62052819,0.15364379
h4,50,3,pin_bull+mtf_adx25+cross_target_relative_up,281,0.36298932,2.26111388,33,0.24242424,1.47473492,0.12831713,61,0.26229508,2.17661358,0.16838786
h4,50,3,pin_bull+mtf_adx25,585,0.36068376,2.24675219,78,0.29487179,1.79378815,0.20524218,117,0.25641026,2.12777930,0.18591679
h4,50,3,pin_bull+mtf_volatility+cross_target_relative_up,234,0.35897436,2.23610408,56,0.41071429,2.49849063,0.29166774,44,0.43181818,3.58337377,0.29682723
h4,50,3,volatility+pin_bull+cross_target_relative_up,204,0.35784314,2.22905753,64,0.37500000,2.28123058,0.26665980,46,0.32608696,2.70598019,0.20865943
h4,50,3,adx_up3+atr_expand+mtf_volatility,431,0.35730858,2.22572772,68,0.33823529,2.05758052,0.23714253,87,0.24137931,2.00304741,0.16364163
h4,50,3,volatility+pin_bull+mtf_trend_bull+cross_target_relative_up,121,0.35537190,2.21366383,27,0.33333333,2.02776051,0.18643261,37,0.35135135,2.91563271,0.21825607
h4,50,3,trend_bull+volatility+pin_bull,178,0.35393258,2.20469812,44,0.25000000,1.52082039,0.14574214,22,0.40909091,3.39477515,0.23255816
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+cross_group_return_up,164,0.35365854,2.20299104,40,0.47500000,2.88955873,0.32935470,43,0.18604651,1.54387707,0.09741751
h4,50,3,rsi_up1+triangle_breakout_up,153,0.35294118,2.19852249,24,0.33333333,2.02776051,0.17972190,16,0.25000000,2.07458482,0.10182067
h4,50,3,rsi_up1+triangle_breakout_up+retest_up,153,0.35294118,2.19852249,22,0.27272727,1.65907678,0.13150760,16,0.25000000,2.07458482,0.10182067
h4,50,3,adx25+pin_bull+cross_group_return_up,284,0.35211268,2.19336164,76,0.38157895,2.32125217,0.28057077,75,0.17333333,1.43837881,0.10419146
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,0.35151515,2.18963958,44,0.27272727,1.65907678,0.16346382,57,0.28070175,2.32935839,0.18079399
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+cross_target_relative_up,127,0.34645669,2.15812969,36,0.36111111,2.19674056,0.22475593,32,0.21875000,1.81526171,0.11023836
h4,50,3,adx25+pin_bull+cross_group_bull,237,0.34599156,2.15523232,71,0.38028169,2.31336059,0.27627173,66,0.19696970,1.63452137,0.11888640
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_bull,136,0.34558824,2.15271994,18,0.33333333,2.02776051,0.16278775,28,0.32142857,2.66732334,0.17933247
