timeframe,target_pips,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,50,12,volatility+pin_bull+mtf_price200_bull+cross_group_return_up,174,0.60919540,1.37552378,39,0.46153846,1.08581624,0.31566886,34,0.70588235,1.85151856,0.53831090
d1,50,10,nr4+pullback_bull+mtf_di_bull+cross_target_relative_up,145,0.82068966,1.14652531,106,0.75471698,1.02818897,0.66485522,34,0.70588235,1.03342390,0.53831090
d1,50,5,price200_bull+rci_bull+pin_bull,202,0.78217822,1.28450989,51,0.76470588,1.27033848,0.63237775,52,0.67307692,1.18988826,0.53756189
d1,50,5,rci_bull+pin_bull,237,0.78059072,1.28190286,68,0.80882353,1.34362723,0.69989359,52,0.67307692,1.18988826,0.53756189
h4,50,12,volatility+pin_bull+mtf_price200_bull+cross_group_bull,149,0.63758389,1.43962316,37,0.45945946,1.08092517,0.31038570,31,0.70967742,1.86147296,0.53407671
d1,50,10,sma_stack_bull+rci_bull+elliott_impulse_bull+cross_group_bull,207,0.81642512,1.14056764,97,0.69072165,0.94100490,0.59295416,49,0.67346939,0.98597076,0.53379205
d1,100,10,price200_bull+pin_bull,327,0.66055046,1.38807125,65,0.73846154,1.51732032,0.62049197,81,0.64197531,1.47060898,0.53333062
d1,50,3,price200_bull+pin_bull,327,0.67889908,1.36179901,65,0.69230769,1.43031226,0.57202357,81,0.64197531,1.45592736,0.53333062
h4,50,12,volatility+pin_bull+mtf_price200_bull,352,0.63068182,1.42403872,64,0.43750000,1.02926331,0.32294010,71,0.64788732,1.69939849,0.53182062
d1,100,10,volatility+pin_bull,166,0.72289157,1.51907396,34,0.85294118,1.75254215,0.69871944,36,0.69444444,1.59080299,0.53143727
d1,50,10,volatility+pullback_bull+mtf_di_bull+cross_group_return_up,262,0.81679389,1.14108282,66,0.80303030,1.09400864,0.69161212,41,0.68292683,0.99981661,0.53015800
d1,50,5,price200_bull+pin_bull+cross_target_relative_up,143,0.77622378,1.27473138,40,0.70000000,1.16284830,0.54569981,28,0.71428571,1.26273856,0.52940712
