timeframe,direction,horizon_bars,base_feature,added_feature,disc_n,disc_rate,disc_increment,val_n,val_rate,val_increment,oos_n,oos_rate,oos_increment
h4,bull,3,atr_expand,ema20_slope_up3,2381,0.15245695,-0.02547972,446,0.18609865,-0.01602900,328,0.11280488,-0.04124918
h4,bull,3,atr_expand,price20_cross_up,418,0.14832536,-0.02961131,87,0.19540230,-0.00672536,45,,
h4,bull,3,atr_expand,price200_cross_up,197,0.15228426,-0.02565241,44,,,25,,
h4,bull,3,atr_expand,breakout20_up,738,0.17073171,-0.00720496,143,0.18881119,-0.01331647,93,0.12903226,-0.02502180
h4,bull,3,atr_expand,bb_expand,2638,0.19332828,0.01539161,511,0.19569472,-0.00643294,470,0.17021277,0.01615871
h4,bull,3,atr_expand,body_expand,1867,0.15050884,-0.02742783,349,0.18624642,-0.01588124,276,0.17028986,0.01623580
h4,bull,6,atr_expand,trend_bull,2039,0.34968122,0.00892534,334,0.32934132,-0.02172251,293,0.26279863,0.00469053
h4,bull,6,atr_expand,price20_bull,2300,0.31565217,-0.02510370,447,0.34004474,-0.01101909,311,0.23472669,-0.02338142
h4,bull,6,atr_expand,price200_bull,2609,0.34725949,0.00650361,454,0.34581498,-0.00524885,375,0.25066667,-0.00744144
h4,bull,6,atr_expand,ema20_rising,2300,0.31565217,-0.02510370,447,0.34004474,-0.01101909,311,0.23472669,-0.02338142
h4,bull,6,atr_expand,ema200_rising,2609,0.34725949,0.00650361,454,0.34581498,-0.00524885,375,0.25066667,-0.00744144
h4,bull,6,atr_expand,momentum_bull,1573,0.28862047,-0.05213540,318,0.34591195,-0.00515188,215,0.25116279,-0.00694532
h4,bull,6,atr_expand,rsi60,1493,0.32283992,-0.01791595,281,0.34163701,-0.00942682,211,0.20379147,-0.05431664
h4,bull,6,atr_expand,macd_bull,2265,0.31523179,-0.02552409,440,0.35909091,0.00802708,309,0.24271845,-0.01538966
h4,bull,6,atr_expand,macd_rising,2308,0.33362218,-0.00713369,461,0.35791757,0.00685374,307,0.25407166,-0.00403645
