conditions,pair,event_timestamp,hit100,hit150,hit200,hit300
price20+price200+macd+volatility,eurjpy,2021-11-29 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-12-02 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-01-18 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-01-20 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-01-21 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-02-21 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-02-22 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-02-24 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2022-02-24 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-03-01 16:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2022-03-04 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-03-07 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-05-12 08:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2022-05-13 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-05-13 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-05-19 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-07-05 12:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2022-07-06 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-07-06 16:00:00+00:00,0,1,0,0
price20+price200+macd+volatility,eurjpy,2022-07-22 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-07-28 12:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2022-07-29 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-09-22 12:00:00+00:00,1,1,1,0
price20+price200+macd+volatility,eurjpy,2022-09-23 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-09-23 20:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2022-09-26 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2022-11-11 00:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2022-11-13 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-11-14 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-12-01 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-12-20 04:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2022-12-20 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2022-12-21 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2023-01-13 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2023-03-13 12:00:00+00:00,1,1,0,1
price20+price200+macd+volatility,eurjpy,2023-03-15 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2023-03-16 16:00:00+00:00,0,1,0,0
price20+price200+macd+volatility,eurjpy,2023-03-20 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2023-07-27 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2023-09-11 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2023-10-04 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2023-12-01 16:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2023-12-07 04:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2023-12-07 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2023-12-07 20:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2023-12-08 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2023-12-14 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2024-01-31 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-03-07 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-03-08 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-03-11 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-04-12 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-05-03 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-06-14 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-07-17 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-07-18 00:00:00+00:00,1,0,1,0
price20+price200+macd+volatility,eurjpy,2024-07-18 08:00:00+00:00,0,0,0,1
price20+price200+macd+volatility,eurjpy,2024-07-23 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-07-24 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2024-07-24 16:00:00+00:00,1,0,1,0
price20+price200+macd+volatility,eurjpy,2024-07-25 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-07-31 04:00:00+00:00,1,1,0,1
price20+price200+macd+volatility,eurjpy,2024-07-31 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2024-07-31 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-08-01 04:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2024-08-01 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-08-01 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-08-02 08:00:00+00:00,0,0,1,0
price20+price200+macd+volatility,eurjpy,2024-08-02 16:00:00+00:00,1,1,0,1
price20+price200+macd+volatility,eurjpy,2024-08-05 00:00:00+00:00,1,1,1,0
price20+price200+macd+volatility,eurjpy,2024-08-05 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-09-06 16:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2024-09-11 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-09-11 16:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,eurjpy,2024-09-27 08:00:00+00:00,0,1,0,0
price20+price200+macd+volatility,eurjpy,2024-09-27 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2024-09-30 08:00:00+00:00,1,0,0,0
