timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bull,200,price20+price200+adx,987,217,115,1.81945852,1.21658986,1.27304348,11,2,0.18181818,0.00000000,0.00000000,115,0.01739130,0.00478235
h4,bull,200,macd+adx+di+body,355,75,0,1.81591028,0.00000000,,4,0,0.00000000,0.00000000,0.00000000,39,0.00000000,-0.00000000
h4,bull,200,macd+adx+bb+body,382,76,0,1.80810064,0.00000000,,5,0,0.00000000,0.00000000,0.00000000,47,0.00000000,-0.00000000
h4,bull,200,price200+adx+volatility+bb,433,105,52,1.80782226,1.25714286,1.40769231,4,1,0.25000000,0.00000000,3.83333333,52,0.01923077,0.00340281
h4,bull,200,price20+adx+volatility+bb,561,119,69,1.80573711,1.10924370,1.06086957,8,1,0.12500000,0.00000000,0.00000000,69,0.01449275,0.00256292
h4,bull,200,price20+adx+volatility+body,204,0,0,1.80573711,,,1,0,0.00000000,0.00000000,0.00000000,25,0.00000000,0.00000000
h4,bull,200,price20+adx+di+body,383,76,0,1.80337975,0.00000000,,3,0,0.00000000,0.00000000,0.00000000,39,0.00000000,-0.00000000
h4,bull,200,macd+adx+body,487,92,62,1.79646741,0.00000000,0.00000000,5,0,0.00000000,0.00000000,0.00000000,62,0.00000000,0.00000000
h4,bull,200,price200+adx+di,1051,225,117,1.79628749,1.17333333,1.25128205,11,2,0.18181818,0.00000000,0.00000000,117,0.01709402,0.00470038
h4,bull,200,price20+adx+di+bb,1128,247,123,1.79613213,1.60323887,1.19024390,11,2,0.18181818,0.00000000,0.00000000,123,0.01626016,0.00447051
h4,bull,200,price20+price200+adx+volatility,436,102,52,1.79538311,1.29411765,1.40769231,5,1,0.20000000,0.00000000,3.83333333,52,0.01923077,0.00340281
h4,bull,200,price20+adx+di,1157,251,124,1.79091040,1.57768924,1.18064516,11,2,0.18181818,0.00000000,0.00000000,124,0.01612903,0.00443436
h4,bull,300,trend+price20+macd+adx,590,142,65,2.90648743,0.00000000,0.00000000,8,0,0.00000000,0.00000000,0.00000000,65,0.00000000,0.00000000
h4,bull,300,trend+macd+adx+di,593,141,64,2.89178345,0.00000000,0.00000000,8,0,0.00000000,0.00000000,0.00000000,64,0.00000000,0.00000000
h4,bull,300,trend+macd+adx+bb,596,144,67,2.87722749,0.00000000,0.00000000,8,0,0.00000000,0.00000000,0.00000000,67,0.00000000,0.00000000
