timeframe,horizon_bars,target_pips,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,1,100,adx25+atr_expand+impulse_bull+mtf_adx_rising,500,51,5.21042623,9.14444444,4,1,0.02777778,0.00000000
h4,1,100,atr_expand+breakout20_up+elliott_impulse_bull+mtf_adx25,250,28,5.21042623,16.65595238,1,1,0.20000000,0.20000000
h4,1,100,atr_expand+retest_up+elliott_impulse_bull+mtf_adx25,250,28,5.21042623,16.65595238,1,1,0.20000000,0.20000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+elliott_impulse_bull,167,22,5.20002618,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+elliott_wave5_bull+mtf_adx25,251,27,5.18966756,17.27283951,1,1,0.20000000,0.20000000
h4,1,100,price20_bull+atr_expand+elliott_impulse_bull+mtf_volatility,169,23,5.13848741,20.27681159,1,1,0.20000000,0.20000000
h4,1,100,ema20_rising+atr_expand+elliott_impulse_bull+mtf_volatility,169,23,5.13848741,20.27681159,1,1,0.20000000,0.20000000
h4,1,100,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_target_relative_up,256,33,5.08830686,14.13232323,2,0,0.00000000,0.00000000
h4,1,150,adx_up3+atr_expand+pullback_bull+mtf_volatility,141,24,25.61540941,0.00000000,1,0,0.00000000,0.00000000
h4,1,150,adx_up3+atr_expand+mtf_volatility,431,87,20.94995781,0.00000000,10,0,0.00000000,0.00000000
h4,1,150,adx25+atr_expand+impulse_bull+mtf_volatility,224,24,18.81131629,0.00000000,1,0,0.00000000,0.00000000
h4,1,150,atr_expand+pullback_bull+mtf_volatility+cross_target_relative_up,203,24,17.79198388,0.00000000,1,0,0.00000000,0.00000000
h4,1,150,rsi_up1+atr_expand+mtf_volatility+cross_group_return_up,146,21,16.49211291,0.00000000,1,0,0.00000000,0.00000000
h4,1,150,atr_expand+mtf_volatility+adx25,697,83,16.40929742,0.00000000,8,0,0.00000000,0.00000000
h4,1,150,adx25+atr_expand+mtf_volatility,697,83,16.40929742,0.00000000,8,0,0.00000000,0.00000000
h4,1,150,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,33,16.09524388,0.00000000,3,0,0.00000000,0.00000000
h4,1,150,ichimoku_cloud_bull+atr_expand+pullback_bull+mtf_volatility,226,27,15.98129525,0.00000000,2,0,0.00000000,0.00000000
h4,1,150,adx25+atr_expand+pullback_bull+mtf_volatility,229,24,15.77193331,0.00000000,1,0,0.00000000,0.00000000
h4,1,150,atr_expand+impulse_bull+mtf_volatility+cross_group_return_up,157,27,15.33661455,0.00000000,2,0,0.00000000,0.00000000
