timeframe,direction,horizon_bars,base_feature,toolkit_feature,period,samples,hit_rate
h4,bull,1,breakout20_up,channel_breakout_up,disc,5109,0.06576629
h4,bull,1,breakout20_up,channel_breakout_up,val,1251,0.06155076
h4,bull,1,breakout20_up,channel_breakout_up,oos,963,0.03738318
h4,bull,1,breakout20_up,horizontal_resistance_near,disc,3435,0.06724891
h4,bull,1,breakout20_up,horizontal_resistance_near,val,808,0.06435644
h4,bull,1,breakout20_up,horizontal_resistance_near,oos,662,0.03021148
h4,bull,1,breakout20_up,horizontal_break_up,disc,3267,0.06703398
h4,bull,1,breakout20_up,horizontal_break_up,val,757,0.06208719
h4,bull,1,breakout20_up,horizontal_break_up,oos,635,0.03149606
h4,bull,1,breakout20_up,vertical_session,disc,3795,0.05981555
h4,bull,1,breakout20_up,vertical_session,val,906,0.04083885
h4,bull,1,breakout20_up,vertical_session,oos,718,0.03481894
h4,bull,1,breakout20_up,vertical_day_open,disc,798,0.07644110
h4,bull,1,breakout20_up,vertical_day_open,val,195,0.05128205
h4,bull,1,breakout20_up,vertical_day_open,oos,160,0.02500000
h4,bull,1,breakout20_up,vertical_week_open,disc,150,0.08000000
h4,bull,1,breakout20_up,vertical_week_open,val,40,0.10000000
h4,bull,1,breakout20_up,vertical_week_open,oos,22,0.09090909
h4,bull,1,breakout20_up,triangle_breakout_up,disc,325,0.10769231
h4,bull,1,breakout20_up,triangle_breakout_up,val,54,0.09259259
h4,bull,1,breakout20_up,triangle_breakout_up,oos,40,0.02500000
h4,bull,1,breakout20_up,ellipse_compression,disc,98,0.13265306
h4,bull,1,breakout20_up,ellipse_compression,val,12,0.08333333
h4,bull,1,breakout20_up,ellipse_compression,oos,9,0.00000000
h4,bull,1,breakout20_up,elliott_wave3_bull,disc,2897,0.06144287
h4,bull,1,breakout20_up,elliott_wave3_bull,val,682,0.06304985
h4,bull,1,breakout20_up,elliott_wave3_bull,oos,519,0.04431599
h4,bull,1,breakout20_up,elliott_wave5_bull,disc,4026,0.06408346
h4,bull,1,breakout20_up,elliott_wave5_bull,val,959,0.05318040
h4,bull,1,breakout20_up,elliott_wave5_bull,oos,772,0.04015544
h4,bull,1,breakout20_up,elliott_impulse_bull,disc,4468,0.06468218
h4,bull,1,breakout20_up,elliott_impulse_bull,val,1082,0.05637708
h4,bull,1,breakout20_up,elliott_impulse_bull,oos,843,0.04151839
h4,bull,1,breakout20_up,range_compression,disc,3898,0.06439200
h4,bull,1,breakout20_up,range_compression,val,958,0.05949896
h4,bull,1,breakout20_up,range_compression,oos,734,0.03542234
h4,bull,1,breakout20_up,range_tight,disc,451,0.07538803
h4,bull,1,breakout20_up,range_tight,val,117,0.07692308
h4,bull,1,breakout20_up,range_tight,oos,100,0.05000000
h4,bull,1,breakout20_up,nr7,disc,154,0.02597403
h4,bull,1,breakout20_up,nr7,val,51,0.03921569
h4,bull,1,breakout20_up,nr7,oos,49,0.02040816
h4,bull,1,breakout20_up,nr4,disc,565,0.03539823
h4,bull,1,breakout20_up,nr4,val,146,0.03424658
h4,bull,1,breakout20_up,nr4,oos,114,0.01754386
h4,bull,1,breakout20_up,breakout_up20,disc,5109,0.06576629
h4,bull,1,breakout20_up,breakout_up20,val,1251,0.06155076
h4,bull,1,breakout20_up,breakout_up20,oos,963,0.03738318
h4,bull,1,breakout20_up,retest_up,disc,5106,0.06560909
h4,bull,1,breakout20_up,retest_up,val,1240,0.05806452
h4,bull,1,breakout20_up,retest_up,oos,959,0.03753910
h4,bull,1,breakout20_up,squeeze_release_up,disc,659,0.06373293
h4,bull,1,breakout20_up,squeeze_release_up,val,154,0.06493506
h4,bull,1,breakout20_up,squeeze_release_up,oos,112,0.03571429
h4,bull,1,breakout20_up,engulf_bull,disc,699,0.07439199
h4,bull,1,breakout20_up,engulf_bull,val,168,0.05952381
h4,bull,1,breakout20_up,engulf_bull,oos,109,0.01834862
h4,bull,1,breakout20_up,strong_close_bull,disc,2604,0.06835637
h4,bull,1,breakout20_up,strong_close_bull,val,644,0.07453416
h4,bull,1,breakout20_up,strong_close_bull,oos,485,0.03917526
h4,bull,1,breakout20_up,hh20,disc,5109,0.06576629
h4,bull,1,breakout20_up,hh20,val,1251,0.06155076
h4,bull,1,breakout20_up,hh20,oos,963,0.03738318
h4,bull,1,breakout20_up,structure_bull_transition,disc,4415,0.06432616
h4,bull,1,breakout20_up,structure_bull_transition,val,1091,0.06049496
h4,bull,1,breakout20_up,structure_bull_transition,oos,841,0.03923900
h4,bull,1,breakout20_up,compression,disc,325,0.10769231
h4,bull,1,breakout20_up,compression,val,54,0.09259259
h4,bull,1,breakout20_up,compression,oos,40,0.02500000
h4,bull,1,breakout20_up,shape_triangle_proxy,disc,295,0.09491525
h4,bull,1,breakout20_up,shape_triangle_proxy,val,45,0.11111111
h4,bull,1,breakout20_up,shape_triangle_proxy,oos,40,0.02500000
h4,bull,1,volatility,sma20_bull,disc,11879,0.05867497
h4,bull,1,volatility,sma20_bull,val,2606,0.06293170
h4,bull,1,volatility,sma20_bull,oos,1873,0.03043246
h4,bull,1,volatility,sma50_bull,disc,11586,0.05420335
h4,bull,1,volatility,sma50_bull,val,2641,0.05831125
h4,bull,1,volatility,sma50_bull,oos,1754,0.02508552
h4,bull,1,volatility,sma200_bull,disc,12536,0.06110402
h4,bull,1,volatility,sma200_bull,val,3149,0.06319466
