timeframe,target_pips,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,50,6,pin_bull+mtf_volatility+cross_group_return_up,250,53,1.88748464,1.72001358,4,4,0.40815781,0.37500000
h4,50,6,volatility+pin_bull+mtf_trend_bull,299,69,1.88693571,2.20194975,4,4,0.52341137,0.47826087
h4,50,6,ichimoku_cloud_bull+volatility+pin_bull+cross_group_return_up,127,29,1.88468453,2.54471632,4,4,0.58290043,0.42857143
h4,50,6,volatility+pin_bull+mtf_price200_bull+cross_group_bull,149,31,1.88179336,2.24050924,4,4,0.52207792,0.40000000
h4,50,6,ichimoku_cloud_bull+volatility+pin_bull+mtf_price200_bull,209,52,1.88146395,2.17049333,4,4,0.49546784,0.40000000
h4,50,6,volatility+pin_bull,479,82,1.87743359,2.01167674,4,4,0.47158027,0.43478261
h4,50,6,price200_bull+pin_bull+mtf_volatility,232,23,1.87180276,2.07612405,2,2,0.47727273,0.45454545
h4,50,6,pin_bull+mtf_volatility+cross_target_relative_up,234,44,1.84119181,2.07183454,4,4,0.47649573,0.44444444
h4,50,6,volatility+pin_bull+mtf_trend_bull+cross_group_return_up,148,34,1.82519690,2.42584549,4,4,0.57738095,0.50000000
h4,50,6,volatility+pin_bull+mtf_price200_bull,352,71,1.81653300,2.01764169,4,4,0.46696429,0.40000000
h4,50,6,volatility+pin_bull+cross_group_bull,202,40,1.81124315,2.06196866,4,4,0.48611111,0.44444444
h4,50,6,price200_bull+volatility+pin_bull+cross_group_bull,121,14,1.78032597,2.48056380,1,1,0.71428571,0.71428571
h4,50,6,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,1.77222731,1.37083789,1,0,0.16666667,0.16666667
h4,50,6,sma_stack_bull+volatility+pin_bull,157,19,1.76412646,1.82778386,2,2,0.42222222,0.40000000
h4,50,6,adx_up3+atr_expand+mtf_volatility,431,87,1.75331259,1.59668475,10,8,0.40000305,0.20000000
h4,50,6,volatility+pin_bull+mtf_price200_bull+cross_group_return_up,174,34,1.74898106,2.29816941,4,4,0.52857143,0.40000000
h4,50,6,sma_stack_bull+volatility+pin_bull+mtf_trend_bull,135,19,1.74767096,1.82778386,2,2,0.42222222,0.40000000
h4,50,6,adx_up3+pin_bull+mtf_trend_bull,160,55,1.73104909,2.20995684,4,4,0.53342246,0.50000000
h4,50,6,volatility+pin_bull+cross_target_relative_up,204,46,1.72643966,2.07612405,4,4,0.49038462,0.38461538
h4,50,6,volatility+pin_bull+mtf_trend_bull+cross_target_relative_up,121,37,1.72380768,2.22915531,4,4,0.53888889,0.50000000
h4,50,6,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,33,1.71882078,1.31545050,3,2,0.38095238,0.14285714
h4,50,6,volatility+pin_bull+cross_group_return_up,235,43,1.71695334,2.12001674,4,4,0.48795094,0.42857143
