timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,200,300,di_spread_down3+range_compression+pullback_bull,67,17,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+atr_expand,66,6,1.00000000,1,1.00000000,1.00000000
h4,200,300,rsi_down3+price200_bull+close_near_low,64,16,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+close_near_low+mtf_di_strong_bull,63,16,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+close_near_low+bb_expand,63,39,1.00000000,4,1.00000000,1.00000000
h4,200,300,rsi_down3+close_near_low+mtf_adx_rising,61,21,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+price200_bull+strong_close_bear,60,14,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+close_near_low+atr_expand,60,22,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+strong_close_bear+mtf_di_strong_bull,59,14,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+strong_close_bear+mtf_adx_rising,57,19,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+strong_close_bear+bb_expand,57,37,1.00000000,4,1.00000000,1.00000000
h4,200,300,rsi_down3+strong_close_bear+atr_expand,54,22,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+close_near_low+mtf_trend_bull,53,16,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+strong_close_bear+mtf_trend_bull,50,14,1.00000000,2,1.00000000,1.00000000
h4,200,300,di_spread_down3+pullback_bull+mtf_adx_rising,43,10,1.00000000,1,1.00000000,1.00000000
h4,200,300,di_spread_down3+close_near_low,39,16,1.00000000,2,1.00000000,1.00000000
h4,200,300,di_spread_down3+close_near_low+volatility,37,14,1.00000000,2,1.00000000,1.00000000
h4,200,300,di_spread_down3+strong_close_bear,33,14,1.00000000,2,1.00000000,1.00000000
