timeframe,period,from_target,to_target,conditions,samples,exit_precision,unconditional_exit_precision,lift,wilson95_lower,target_capture_pips_mean,future_mfe_pips_mean,future_mae_pips_mean,bars_after_target_mean
h4,validation,50,100,rsi_down3+strong_close_bear+volatility,109,0.96330275,0.74500976,1.29300690,0.90942280,-92.44678899,54.26330275,-59.04128440,1.23853211
h4,oos,50,100,rsi_down3+strong_close_bear+volatility,74,1.00000000,0.79026134,1.26540418,0.95065022,-50.90810811,33.78918919,-32.10810811,1.64864865
h4,discovery,50,100,ema20_slope_down3+strong_close_bear+atr_expand,286,0.97202797,0.75515784,1.28718517,0.94578437,-102.29790210,44.78986014,-65.13181818,1.06293706
h4,validation,50,100,ema20_slope_down3+strong_close_bear+atr_expand,30,1.00000000,0.74500976,1.34226430,0.88648661,-150.23666667,69.81666667,-91.17000000,1.06666667
h4,oos,50,100,ema20_slope_down3+strong_close_bear+atr_expand,30,0.96666667,0.79026134,1.22322404,0.83329609,-111.84333333,22.51333333,-54.76000000,1.00000000
h4,discovery,50,100,rsi_down3+price20_cross_down+mtf_adx_rising,346,0.97109827,0.75515784,1.28595402,0.94762385,-76.92543353,49.08121387,-38.03034682,1.28034682
h4,validation,50,100,rsi_down3+price20_cross_down+mtf_adx_rising,58,0.96551724,0.74500976,1.29597933,0.88270855,-94.93275862,48.50000000,-60.41206897,1.39655172
h4,oos,50,100,rsi_down3+price20_cross_down+mtf_adx_rising,70,1.00000000,0.79026134,1.26540418,0.94797694,-99.19142857,40.30714286,-78.29714286,1.37142857
h4,discovery,50,100,rsi_down3+close_near_low+volatility,708,0.97033898,0.75515784,1.28494856,0.95508228,-82.13135593,42.33319209,-49.79364407,1.17090395
h4,validation,50,100,rsi_down3+close_near_low+volatility,123,0.95934959,0.74500976,1.28770071,0.90836227,-92.99105691,54.04227642,-59.80731707,1.21138211
h4,oos,50,100,rsi_down3+close_near_low+volatility,88,1.00000000,0.79026134,1.26540418,0.95817293,-85.09772727,47.26704545,-34.17954545,1.60227273
h4,discovery,50,100,macd_accel_down+close_near_low+atr_expand,876,0.97031963,0.75515784,1.28492294,0.95686630,-75.03333333,38.56929224,-48.83002283,1.10045662
h4,validation,50,100,macd_accel_down+close_near_low+atr_expand,100,0.97000000,0.74500976,1.30199637,0.91548064,-82.59300000,54.78600000,-44.88800000,1.23000000
h4,oos,50,100,macd_accel_down+close_near_low+atr_expand,85,0.95294118,0.79026134,1.20585575,0.88516273,-112.58470588,41.29529412,-42.72352941,1.21176471
h4,discovery,50,100,rsi_down3+pullback_bull+atr_expand,603,0.97014925,0.75515784,1.28469732,0.95331021,-68.78142620,36.46815920,-44.31575456,1.12935323
