timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_base_lift,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_base_lift,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
h4,bull,1,adx_up3,13589.00000000,65870.00000000,0.05379351,0.04903598,0.00475753,1.09702120,1.07911600,3261.00000000,16315.00000000,0.05765103,0.05099602,0.00665501,1.13050061,1.10644756,2573.00000000,11418.00000000,0.04469491,0.02890173,0.01579317,1.54644384,1.40522802
h4,bull,6,mtf_volatility,22922.00000000,56537.00000000,0.35681878,0.26635655,0.09046223,1.33962834,1.22009051,4310.00000000,15266.00000000,0.38561485,0.25442159,0.13119326,1.51565301,1.36112447,3968.00000000,10023.00000000,0.32358871,0.19345505,0.13013366,1.67268161,1.40469427
d1,bear,1,rci_cross_down,542.00000000,14775.00000000,0.23247232,0.25346870,-0.02099637,0.91716384,0.91986014,152.00000000,3604.00000000,0.25000000,0.25443951,-0.00443951,0.98255180,0.98324607,111.00000000,2615.00000000,0.29729730,0.20803059,0.08926670,1.42910374,1.40456227
h4,bear,1,adx_cross25_up,1464.00000000,77995.00000000,0.07103825,0.05386243,0.01717582,1.31888322,1.31117966,345.00000000,19231.00000000,0.06956522,0.05839530,0.01116992,1.19128112,1.18727872,247.00000000,13744.00000000,0.06072874,0.04292782,0.01780092,1.41467097,1.40438987
h4,bear,1,mtf_rsi40,15568.00000000,63891.00000000,0.06044450,0.05265217,0.00779233,1.14799633,1.11564684,2681.00000000,16895.00000000,0.07534502,0.05593371,0.01941131,1.34704140,1.28592338,2142.00000000,11849.00000000,0.06069094,0.04008777,0.02060317,1.51395155,1.40351568
h4,bear,3,breakout20_down,4118.00000000,75341.00000000,0.19645459,0.16356300,0.03289159,1.20109431,1.18870585,896.00000000,18680.00000000,0.17299107,0.17173448,0.00125660,1.00731709,1.00697984,640.00000000,13351.00000000,0.18750000,0.13190023,0.05559977,1.42152896,1.39463716
h4,bear,3,channel_breakout_down,4118.00000000,75341.00000000,0.19645459,0.16356300,0.03289159,1.20109431,1.18870585,896.00000000,18680.00000000,0.17299107,0.17173448,0.00125660,1.00731709,1.00697984,640.00000000,13351.00000000,0.18750000,0.13190023,0.05559977,1.42152896,1.39463716
h4,bear,3,breakout_down20,4118.00000000,75341.00000000,0.19645459,0.16356300,0.03289159,1.20109431,1.18870585,896.00000000,18680.00000000,0.17299107,0.17173448,0.00125660,1.00731709,1.00697984,640.00000000,13351.00000000,0.18750000,0.13190023,0.05559977,1.42152896,1.39463716
h4,bear,3,structure_breakout20_down,4118.00000000,75341.00000000,0.19645459,0.16356300,0.03289159,1.20109431,1.18870585,896.00000000,18680.00000000,0.17299107,0.17173448,0.00125660,1.00731709,1.00697984,640.00000000,13351.00000000,0.18750000,0.13190023,0.05559977,1.42152896,1.39463716
h4,bear,3,mtf_range_tight,4535.00000000,74924.00000000,0.12987872,0.16740964,-0.03753092,0.77581386,0.78586912,1672.00000000,17904.00000000,0.15610048,0.17325737,-0.01715689,0.90097452,0.90865982,882.00000000,13109.00000000,0.18707483,0.13090243,0.05617240,1.42911652,1.39147472
h4,bear,6,mtf_inside_2,1521.00000000,77938.00000000,0.27087442,0.28920424,-0.01832981,0.93661983,0.93775753,458.00000000,19118.00000000,0.22925764,0.27952715,-0.05026951,0.82016235,0.82362775,241.00000000,13750.00000000,0.32780083,0.23440000,0.09340083,1.39846770,1.38893441
h4,bear,3,retest_down,4115.00000000,75344.00000000,0.19659781,0.16355649,0.03304133,1.20201782,1.18957247,889.00000000,18687.00000000,0.17097863,0.17183068,-0.00085206,0.99504130,0.99526542,632.00000000,13359.00000000,0.18670886,0.13197096,0.05473790,1.41477236,1.38875262
h4,bear,1,mtf_engulf_bear,6156.00000000,73303.00000000,0.06319038,0.05342210,0.00976829,1.18285104,1.16632861,1598.00000000,17978.00000000,0.06257822,0.05823785,0.00434038,1.07452845,1.06803077,1086.00000000,12905.00000000,0.05985267,0.04184425,0.01800842,1.43036798,1.38413010
h4,bear,24,pin_bear,869.00000000,78590.00000000,0.70080552,0.57007253,0.13073300,1.22932695,1.22625148,262.00000000,19314.00000000,0.71755725,0.53406855,0.18348870,1.34356769,1.33741795,146.00000000,13845.00000000,0.68493151,0.49302997,0.19190153,1.38922894,1.38360911
h4,bear,1,impulse_bear,13473.00000000,65986.00000000,0.07051139,0.05084412,0.01966727,1.38681514,1.30145524,3221.00000000,16355.00000000,0.07171686,0.05600734,0.01570952,1.28049041,1.22400106,2243.00000000,11748.00000000,0.05974142,0.04009193,0.01964949,1.49011078,1.38155732
h4,bear,6,mtf_volatility,22922.00000000,56537.00000000,0.33884478,0.26858517,0.07025960,1.26159152,1.17306846,4310.00000000,15266.00000000,0.36844548,0.25291497,0.11553050,1.45679581,1.32367198,3968.00000000,10023.00000000,0.32510081,0.20073830,0.12436250,1.61952554,1.37749406
h4,bear,3,mtf_horizontal_resistance_near,5555.00000000,73904.00000000,0.19423942,0.16308995,0.03114947,1.19099563,1.17530234,1666.00000000,17910.00000000,0.16866747,0.17208264,-0.00341517,0.98015390,0.98181217,1035.00000000,12956.00000000,0.18357488,0.13051868,0.05305620,1.40650274,1.36544186
h4,bear,1,mtf_range_tight,4535.00000000,74924.00000000,0.04057332,0.05500240,-0.01442908,0.73766448,0.74887696,1672.00000000,17904.00000000,0.05861244,0.05859026,0.00002218,1.00037858,1.00034623,882.00000000,13109.00000000,0.05895692,0.04218476,0.01677216,1.39758809,1.36341523
